,FECHA,PAIS ORIGEN,FOB U$S,TOTAL KGS NETO
372,2013-10-15,MALAYSIA,477852.03,33430.0
373,2013-11-24,UNITED STATES,110250.0,315000.0
376,2013-11-05,RUSSIAN FEDERATION,13200000.0,40000000.0
377,2013-11-08,INDONESIA,159821.09,486000.0
378,2013-11-08,CHINA,194036.5,540000.0
379,2013-11-11,INDONESIA,172292.0,513000.0
380,2013-11-03,INDONESIA,118827.5,319000.0
381,2013-10-31,PERU,107385.0,300000.0
382,2013-11-25,UNITED STATES,170003.8,536850.0
383,2013-11-22,PERU,5088536.0,15471534.0
386,2013-11-18,UNITED STATES,199699.8,580000.0
387,2013-11-20,CHINA,98600.0,291160.0
388,2013-11-25,MALAYSIA,112240.44,348000.0
389,2013-12-08,PERU,163224.0,486000.0
390,2013-12-17,MALAYSIA,151348.95,476000.0
392,2013-12-03,UNITED STATES,97240.0,287144.0
394,2013-12-22,MALAYSIA,108262.0,308000.0
395,2013-12-22,CHINA,151348.95,476000.0
396,2013-12-22,RUSSIAN FEDERATION,154156.0,459000.0
397,2014-01-02,INDONESIA,600000.0,2000000.0
399,2013-12-19,CHINA,93196.55,243000.0
400,2013-12-18,INDONESIA,99714.6,1072200.0
401,2013-12-18,UNITED STATES,100936.91,1789050.560509554
402,2013-12-18,INDONESIA,135397.42,1789050.560509554
403,2013-10-31,PERU,97280.0,304000.0
408,2014-01-30,CHINA,100400.0,240000.0
409,2014-02-03,MALAYSIA,87344.0,206000.0
410,2013-10-31,INDONESIA,92160.0,288000.0
411,2014-02-03,UNITED STATES,108000.0,240000.0
412,2014-02-06,PERU,100064.0,236000.0
413,2014-01-02,RUSSIAN FEDERATION,96415.59,252750.0
414,2014-02-06,MALAYSIA,108700.0,260000.0
415,2014-02-10,MALAYSIA,100064.0,236000.0
416,2014-02-08,MALAYSIA,53400.0,120000.0
417,2014-02-11,MALAYSIA,121500.0,270000.0
418,2014-01-20,INDONESIA,738790.38,2085800.0
419,2014-02-13,CHINA,40100.0,89618.0
420,2014-02-15,INDONESIA,40330.8,89050.0
421,2014-02-18,CHINA,20800.0,60000.0
422,2014-02-18,CHINA,20800.0,60000.0
426,2014-01-20,RUSSIAN FEDERATION,1936460.12,5501776.0
427,2014-01-20,RUSSIAN FEDERATION,1955056.12,5501776.0
428,2014-02-19,MALAYSIA,13490.4,90000.0
429,2014-02-19,PERU,26840.4,96152.22222222222
430,2014-02-26,PERU,12400.0,30003.0
431,2014-02-25,PERU,39730.8,90190.0
432,2014-02-25,INDONESIA,29030.0,60000.0
433,2014-02-28,MALAYSIA,27440.0,60000.0
434,2014-03-05,CHINA,45.7,240100.0
435,2014-03-05,CHINA,109680.0,3812384.6063829786
436,2014-02-27,INDONESIA,135500.0,299600.0
437,2014-02-26,UNITED STATES,163.29,530.0
438,2014-03-06,UNITED STATES,29030.0,60000.0
439,2014-03-07,RUSSIAN FEDERATION,26500.0,60006.0
440,2014-03-06,MALAYSIA,26000.0,50000.0
441,2014-03-06,UNITED STATES,26400.0,90150.0
442,2014-03-06,UNITED STATES,13200.0,89674.46153846153
443,2014-03-05,INDONESIA,14080.0,91940.0
444,2014-03-05,PERU,26400.0,96152.22222222222
445,2014-03-07,PERU,27440.0,60000.0
446,2014-03-10,MALAYSIA,109700.0,240000.0
447,2014-01-26,INDONESIA,278625.0,1450000.0
448,2014-01-26,RUSSIAN FEDERATION,278625.0,1789050.560509554
449,2014-03-08,MALAYSIA,13200.0,90190.0
450,2014-03-08,MALAYSIA,26400.0,96152.22222222222
451,2014-03-10,UNITED STATES,53774.4,120000.0
452,2014-03-07,MALAYSIA,27440.0,60000.0
453,2014-03-12,PERU,26500.0,60006.0
454,2014-03-13,UNITED STATES,109700.0,240000.0
455,2014-01-26,MALAYSIA,278625.0,725000.0
456,2014-01-26,RUSSIAN FEDERATION,203665.0,550000.0
457,2014-03-13,INDONESIA,29030.0,60000.0
458,2014-02-09,RUSSIAN FEDERATION,127809.0,300000.0
459,2014-02-18,PERU,198180.0,540000.0
460,2014-03-14,RUSSIAN FEDERATION,27460.0,60000.0
461,2014-03-17,CHINA,109700.0,240000.0
462,2014-01-26,PERU,117453.6,330000.0
463,2014-03-15,INDONESIA,13200.0,90000.0
464,2014-03-15,MALAYSIA,26400.0,89674.46153846153
465,2014-03-14,CHINA,13200.0,90000.0
466,2014-03-14,CHINA,26400.0,96152.22222222222
467,2014-03-17,CHINA,52900.0,120012.0
469,2014-03-18,RUSSIAN FEDERATION,27460.0,60000.0
470,2014-03-20,RUSSIAN FEDERATION,109700.0,240000.0
471,2014-02-19,UNITED STATES,210031.59,538980.0
472,2014-03-20,INDONESIA,29030.0,60000.0
477,2014-03-20,RUSSIAN FEDERATION,39600.0,90000.0
482,2014-02-20,INDONESIA,128152.59,300750.0
483,2014-02-15,CHINA,307800.0,1100000.0
484,2014-02-15,CHINA,110200.0,449310.15555555554
490,2014-04-04,INDONESIA,4.0,1.6
491,2014-03-04,RUSSIAN FEDERATION,188784.0,547200.0
492,2014-03-12,UNITED STATES,606528.0,33200.0
493,2014-03-12,INDONESIA,256320.0,33000.0
494,2014-03-10,RUSSIAN FEDERATION,235463.52,512750.0
495,2014-03-13,CHINA,620000.0,2000000.0
496,2014-03-04,RUSSIAN FEDERATION,178011.0,513000.0
497,2014-03-17,INDONESIA,211370.66,503000.0
498,2014-03-01,PERU,3554584.0,8617900.0
499,2014-03-17,RUSSIAN FEDERATION,229581.25,681250.0
500,2014-03-16,MALAYSIA,125136.0,316800.0
501,2014-03-02,MALAYSIA,357329.12,1624000.0
502,2014-03-02,MALAYSIA,357329.12,3812384.6063829786
503,2014-04-06,CHINA,89.9,274.07
504,2014-03-11,PERU,5886330.0,14307333.0
505,2014-03-07,UNITED STATES,180225.0,480600.0
506,2014-03-07,PERU,10875.0,29000.0
512,2014-05-19,UNITED STATES,46077.3,115476.0
513,2014-05-19,INDONESIA,142308.0,482400.0
514,2014-05-02,INDONESIA,100898.8,29200.0
515,2014-05-26,INDONESIA,179548.83,516760.0
516,2014-05-26,INDONESIA,331632.0,1010240.0
517,2014-05-25,PERU,333036.0,1044000.0
519,2014-05-31,CHINA,125634.6,315630.0
