,RAZON SOCIAL,FECHA,PAIS ORIGEN,VIA TRANSPORTE,PAIS DESTINO,FOB U$S,FLETE U$S,TOTAL KGS NETO
1199,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2017-07-23,RUSSIAN FEDERATION,MARITIMO,ECUADOR,258561.59,48840.0,1320000.0
1200,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2017-08-13,RUSSIAN FEDERATION,MARITIMO,ECUADOR,441112.5,45000.0,2175000.0
1201,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2017-08-14,RUSSIAN FEDERATION,MARITIMO,ECUADOR,179604.58,18600.0,892800.0
1202,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2017-08-03,RUSSIAN FEDERATION,MARITIMO,ECUADOR,128369.02,12705.0,620800.0
1203,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2017-08-20,RUSSIAN FEDERATION,MARITIMO,ECUADOR,179601.59,18600.0,892800.0
1204,"FERTISA, FERTILIZANTES, TERMINALES I SERVICIOS C.L.",2017-09-01,RUSSIAN FEDERATION,MARITIMO,ECUADOR,298041.12,68904.0,1566000.0
1205,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2017-08-28,RUSSIAN FEDERATION,MARITIMO,ECUADOR,168014.41,17400.0,835200.0
1206,SOLVESA ECUADOR S.A,2017-08-28,RUSSIAN FEDERATION,MARITIMO,ECUADOR,73800.0,7260.0,360000.0
1207,FERMAGRI S.A.,2017-08-29,RUSSIAN FEDERATION,MARITIMO,ECUADOR,213840.0,22680.0,1080000.0
1208,FERMAGRI S.A.,2017-09-11,RUSSIAN FEDERATION,MARITIMO,ECUADOR,213700.0,32590.0,1100000.0
1209,ESPECTROCROM CIA. LTDA.,2017-09-18,GERMANY,MARITIMO,ECUADOR,316.48,8.96,5255.08
1210,FERMAGRI S.A.,2017-09-17,RUSSIAN FEDERATION,MARITIMO,ECUADOR,197225.0,30025.0,1015000.0
1211,FERMAGRI S.A.,2017-09-05,RUSSIAN FEDERATION,MARITIMO,ECUADOR,605448.0,108980.72,3027240.0
1212,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2017-09-10,RUSSIAN FEDERATION,MARITIMO,ECUADOR,109440.0,12690.0,540000.0
1213,ROGEL JIMENEZ JAIME ENRIQUE,2017-10-19,RUSSIAN FEDERATION,CARRETERA,ECUADOR,3300.0,238.44,32000.0
