,RAZON SOCIAL,FECHA,PAIS ORIGEN,VIA TRANSPORTE,PAIS DESTINO,FOB U$S,FLETE U$S,TOTAL KGS NETO,LATITUDE,LONGITUDE,NAME,TEMP,PRCP
1809,SOLVESA ECUADOR S.A,2023-10-12,RUSSIAN FEDERATION,MARITIMO,ECUADOR,225524.94,17288.583711340205,562182.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",76.9,0.0
1810,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2023-10-12,RUSSIAN FEDERATION,MARITIMO,ECUADOR,428382.69,34341.777933884296,1124364.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",76.9,0.0
1811,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2023-11-30,MALAYSIA,MARITIMO,ECUADOR,1394308.0,49483.8138170347,3360993.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.2,0.0
1812,PRECISAGRO S.A.,2023-11-30,MALAYSIA,MARITIMO,ECUADOR,439483.0,60048.74543799773,1120331.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.2,0.0
1813,PRECISAGRO S.A.,2023-11-30,MALAYSIA,MARITIMO,ECUADOR,8122.84,60048.74543799773,2764157.8,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.2,0.0
1814,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2023-11-30,MALAYSIA,MARITIMO,ECUADOR,1564080.0,34341.777933884296,4349176.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.2,0.0
1815,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2023-11-30,MALAYSIA,MARITIMO,ECUADOR,136534.8,34341.777933884296,1084100.0109375,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.2,0.0
1816,PRECISAGRO S.A.,2023-11-01,CHINA,MARITIMO,ECUADOR,2223100.0,60048.74543799773,7480000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",77.5,0.0
1817,FERTISA AGIF C.L.,2023-11-04,CHINA,MARITIMO,ECUADOR,445335.0,83380.54394366198,1100000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.2,0.0
1818,FERMAGRI S.A.,2023-11-04,RUSSIAN FEDERATION,MARITIMO,ECUADOR,395450.0,43794.817980769236,1000000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.2,0.0
1819,YARECUADOR CIA LTDA,2023-10-29,CHINA,MARITIMO,ECUADOR,1340988.0,60048.74543799773,3300000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.2,0.0
1820,PRECISAGRO S.A.,2023-11-24,RUSSIAN FEDERATION,MARITIMO,ECUADOR,1614272.0,60048.74543799773,4400000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.6,0.0
1821,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2023-11-24,RUSSIAN FEDERATION,MARITIMO,ECUADOR,1049550.0,49483.8138170347,3000000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.6,0.0
1822,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2023-11-24,RUSSIAN FEDERATION,MARITIMO,ECUADOR,1080330.0,49483.8138170347,3000000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.6,0.0
1823,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2023-11-04,CHINA,MARITIMO,ECUADOR,30498.4,49483.8138170347,80000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.2,0.0
1824,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2023-10-29,CHINA,MARITIMO,ECUADOR,445951.0,49483.8138170347,1100000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.2,0.0
1825,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2023-11-04,CHINA,MARITIMO,ECUADOR,319144.0,49483.8138170347,800000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.2,0.0
1826,AGRIPAC S.A.,2023-11-20,RUSSIAN FEDERATION,MARITIMO,ECUADOR,449229.53,112730.76932515336,6600617.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.3,0.0
1827,AGRIPAC S.A.,2023-11-20,RUSSIAN FEDERATION,MARITIMO,ECUADOR,1922702.12,112730.76932515336,3399980.392265193,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.3,0.0
1828,PRECISAGRO S.A.,2023-11-20,RUSSIAN FEDERATION,MARITIMO,ECUADOR,593769.0,60048.74543799773,1650000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.3,0.0
1829,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2023-11-20,RUSSIAN FEDERATION,MARITIMO,ECUADOR,778036.88,49483.8138170347,2200206.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.3,0.0
1830,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2023-11-11,RUSSIAN FEDERATION,MARITIMO,ECUADOR,389018.41,49483.8138170347,1100103.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",77.3,0.0
1831,BRENNTAG ECUADOR S.A.,2023-10-17,RUSSIAN FEDERATION,MARITIMO,ECUADOR,1116126.0,32111.520714285714,2706760.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.3,0.02
1832,BRENNTAG ECUADOR S.A.,2023-10-17,RUSSIAN FEDERATION,MARITIMO,ECUADOR,3361.29,32111.520714285714,1315428.6666666667,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.3,0.02
1833,FERTISA AGIF C.L.,2023-12-15,RUSSIAN FEDERATION,MARITIMO,ECUADOR,1074920.0,83380.54394366198,3850000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",80.7,0.0
1834,FERTISA AGIF C.L.,2023-12-15,RUSSIAN FEDERATION,MARITIMO,ECUADOR,478224.88,83380.54394366198,2350930.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",80.7,0.0
1835,FERTISA AGIF C.L.,2023-12-15,RUSSIAN FEDERATION,MARITIMO,ECUADOR,223300.0,83380.54394366198,2581862.620762712,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",80.7,0.0
1836,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2023-12-15,RUSSIAN FEDERATION,MARITIMO,ECUADOR,451209.0,49483.8138170347,1650000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",80.7,0.0
1837,AGRIPAC S.A.,2023-12-15,RUSSIAN FEDERATION,MARITIMO,ECUADOR,1577840.0,112730.76932515336,5500000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",80.7,0.0
