"Date","Price","Open","High","Low","Vol.","Change %"
"11/27/2018","323.50","323.50","323.50","323.50","","0.00%"
"11/26/2018","323.50","323.50","323.50","323.50","","0.00%"
"11/23/2018","323.50","323.50","323.50","323.50","","0.00%"
"11/21/2018","323.50","323.50","323.50","323.50","","0.00%"
"11/20/2018","323.50","323.50","323.50","323.50","","0.00%"
"11/19/2018","323.50","323.50","323.50","323.50","","0.00%"
"11/16/2018","323.50","323.50","323.50","323.50","","0.00%"
"11/15/2018","323.50","323.50","323.50","323.50","","0.00%"
"11/14/2018","323.50","323.50","323.50","323.50","","-0.31%"
"11/13/2018","324.50","324.50","324.50","324.50","","0.31%"
"11/12/2018","323.50","323.50","323.50","323.50","","-0.31%"
"11/09/2018","324.50","324.50","324.50","324.50","","0.00%"
"11/08/2018","324.50","324.50","324.50","324.50","","0.00%"
"11/07/2018","324.50","324.50","324.50","324.50","","-0.15%"
"11/06/2018","325.00","325.00","325.00","325.00","0.05K","1.25%"
"11/05/2018","321.00","321.00","321.00","321.00","","0.31%"
"11/02/2018","320.00","320.00","320.00","320.00","0.10K","1.11%"
"11/01/2018","316.50","316.50","316.50","316.50","","-0.47%"
"10/31/2018","318.00","318.00","318.00","318.00","","0.47%"
"10/30/2018","316.50","316.50","316.50","316.50","","-1.86%"
"10/29/2018","322.50","322.50","322.50","322.50","","-0.31%"
"10/26/2018","323.50","323.50","323.50","323.50","0.05K","-3.36%"
"10/25/2018","334.75","334.75","334.75","334.75","","-0.67%"
"10/24/2018","337.00","337.00","337.00","337.00","","0.00%"
"10/23/2018","337.00","337.00","337.00","337.00","","0.00%"
"10/22/2018","337.00","337.00","337.00","337.00","","0.00%"
"10/19/2018","337.00","337.00","337.00","337.00","","0.30%"
"10/18/2018","336.00","336.00","336.00","336.00","","0.00%"
"10/17/2018","336.00","336.00","336.00","336.00","","0.00%"
"10/16/2018","336.00","336.00","336.00","336.00","","0.00%"
"10/15/2018","336.00","336.00","336.00","336.00","","-0.30%"
"10/12/2018","337.00","337.00","337.00","337.00","","0.00%"
"10/11/2018","337.00","337.00","337.00","337.00","","-0.15%"
"10/10/2018","337.50","337.50","337.50","337.50","","-0.74%"
"10/09/2018","340.00","340.00","340.00","340.00","","0.00%"
"10/08/2018","340.00","340.00","340.00","340.00","","0.29%"
"10/05/2018","339.00","339.00","339.00","339.00","","0.00%"
"10/04/2018","339.00","339.00","339.00","339.00","","0.15%"
"10/03/2018","338.50","338.50","338.50","338.50","","-0.29%"
"10/02/2018","339.50","339.50","339.50","339.50","","-0.15%"
"10/01/2018","340.00","340.00","340.00","340.00","0.10K","2.41%"
"09/28/2018","332.00","332.00","332.00","332.00","","7.79%"
"09/27/2018","308.00","308.00","308.00","308.00","","0.49%"
"09/26/2018","306.50","306.50","306.50","306.50","","0.00%"
"09/25/2018","306.50","306.50","306.50","306.50","","0.00%"
"09/24/2018","306.50","306.50","306.50","306.50","","-0.16%"
"09/21/2018","307.00","307.00","307.00","307.00","","0.16%"
"09/20/2018","306.50","306.50","306.50","306.50","","0.00%"
"09/19/2018","306.50","306.50","306.50","306.50","","0.00%"
"09/18/2018","306.50","306.50","306.50","306.50","","-0.65%"
"09/17/2018","308.50","308.50","308.50","308.50","","0.33%"
"09/14/2018","307.50","307.50","307.50","307.50","","-0.49%"
"09/13/2018","309.00","309.00","309.00","309.00","","0.65%"
"09/12/2018","307.00","307.00","307.00","307.00","","0.33%"
